delivery_id,order_id,delivery_status,delivery_time,rider_id
1,1,Cancelled,12:00:00 AM,10
2,2,Cancelled,12:00:00 AM,15
3,3,Cancelled,12:00:00 AM,157
4,4,Delivered,12:46:00 AM,79
5,5,Delivered,12:51:00 AM,1
6,6,Cancelled,12:00:00 AM,148
7,7,Delivered,12:20:00 AM,166
8,8,Delivered,12:24:00 AM,98
9,9,Delivered,12:21:00 AM,156
10,10,Cancelled,12:00:00 AM,58
11,11,Delivered,12:38:00 AM,143
12,12,Cancelled,12:00:00 AM,26
13,13,Delivered,12:38:00 AM,26
14,14,Cancelled,12:00:00 AM,77
15,15,Delivered,12:21:00 AM,140
16,16,Delivered,12:38:00 AM,160
17,17,Delivered,12:34:00 AM,15
18,18,Delivered,12:18:00 AM,80
19,19,Cancelled,12:00:00 AM,131
20,20,Delivered,12:53:00 AM,103
21,21,Cancelled,12:00:00 AM,86
22,22,Delivered,12:42:00 AM,2
23,23,Delivered,12:50:00 AM,65
24,24,Cancelled,12:00:00 AM,99
25,25,Delivered,12:51:00 AM,95
26,26,Delivered,12:32:00 AM,172
27,27,Delivered,12:32:00 AM,153
28,28,Delivered,12:35:00 AM,97
29,29,Cancelled,12:00:00 AM,180
30,30,Delivered,12:51:00 AM,120
31,31,Cancelled,12:00:00 AM,119
32,32,Cancelled,12:00:00 AM,93
33,33,Cancelled,12:00:00 AM,95
34,34,Cancelled,12:00:00 AM,110
35,35,Cancelled,12:00:00 AM,18
36,36,Delivered,12:25:00 AM,63
37,37,Delivered,12:33:00 AM,5
38,38,Cancelled,12:00:00 AM,12
39,39,Cancelled,12:00:00 AM,21
40,40,Cancelled,12:00:00 AM,179
41,41,Cancelled,12:00:00 AM,84
42,42,Cancelled,12:00:00 AM,35
43,43,Delivered,12:26:00 AM,157
44,44,Delivered,12:16:00 AM,76
45,45,Delivered,12:16:00 AM,162
46,46,Delivered,12:20:00 AM,92
47,47,Cancelled,12:00:00 AM,7
48,48,Delivered,12:45:00 AM,111
49,49,Delivered,12:25:00 AM,152
50,50,Delivered,1:00:00 AM,70
51,51,Cancelled,12:00:00 AM,44
52,52,Delivered,12:16:00 AM,26
53,53,Cancelled,12:00:00 AM,38
54,54,Cancelled,12:00:00 AM,28
55,55,Delivered,12:44:00 AM,35
56,56,Cancelled,12:00:00 AM,48
57,57,Delivered,12:17:00 AM,152
58,58,Delivered,12:34:00 AM,57
59,59,Delivered,12:31:00 AM,45
60,60,Delivered,12:26:00 AM,7
61,61,Delivered,12:48:00 AM,36
62,62,Delivered,12:34:00 AM,22
63,63,Delivered,12:58:00 AM,154
64,64,Delivered,12:50:00 AM,168
65,65,Delivered,12:38:00 AM,119
66,66,Cancelled,12:00:00 AM,117
67,67,Delivered,12:47:00 AM,122
68,68,Delivered,12:28:00 AM,74
69,69,Delivered,12:22:00 AM,172
70,70,Delivered,1:00:00 AM,62
71,71,Delivered,12:43:00 AM,39
72,72,Delivered,12:28:00 AM,11
73,73,Cancelled,12:00:00 AM,180
74,74,Delivered,12:44:00 AM,58
75,75,Delivered,12:35:00 AM,127
76,76,Delivered,12:21:00 AM,164
77,77,Delivered,12:28:00 AM,100
78,78,Delivered,12:19:00 AM,129
79,79,Cancelled,12:00:00 AM,114
80,80,Delivered,12:44:00 AM,66
81,81,Delivered,12:51:00 AM,128
82,82,Cancelled,12:00:00 AM,132
83,83,Delivered,12:52:00 AM,93
84,84,Delivered,12:28:00 AM,175
85,85,Delivered,12:38:00 AM,42
86,86,Delivered,12:35:00 AM,137
87,87,Cancelled,12:00:00 AM,82
88,88,Cancelled,12:00:00 AM,64
89,89,Delivered,12:35:00 AM,83
90,90,Delivered,12:55:00 AM,159
91,91,Delivered,12:51:00 AM,88
92,92,Delivered,12:22:00 AM,81
93,93,Delivered,12:32:00 AM,27
94,94,Delivered,12:33:00 AM,64
95,95,Cancelled,12:00:00 AM,108
96,96,Delivered,12:18:00 AM,74
97,97,Delivered,12:30:00 AM,141
98,98,Delivered,12:46:00 AM,33
99,99,Cancelled,12:00:00 AM,74
100,100,Delivered,12:30:00 AM,1
101,101,Cancelled,12:00:00 AM,139
102,102,Delivered,12:47:00 AM,76
103,103,Delivered,12:50:00 AM,104
104,104,Cancelled,12:00:00 AM,9
105,105,Delivered,12:42:00 AM,68
106,106,Cancelled,12:00:00 AM,167
107,107,Cancelled,12:00:00 AM,31
108,108,Delivered,12:34:00 AM,77
109,109,Cancelled,12:00:00 AM,40
110,110,Delivered,12:38:00 AM,177
111,111,Delivered,12:18:00 AM,146
112,112,Delivered,12:58:00 AM,98
113,113,Delivered,12:52:00 AM,50
114,114,Delivered,12:30:00 AM,128
115,115,Delivered,12:36:00 AM,180
116,116,Delivered,12:46:00 AM,147
117,117,Delivered,12:58:00 AM,13
118,118,Delivered,12:21:00 AM,84
119,119,Delivered,12:37:00 AM,5
120,120,Cancelled,12:00:00 AM,136
121,121,Delivered,12:49:00 AM,1
122,122,Cancelled,12:00:00 AM,110
123,123,Delivered,12:27:00 AM,147
124,124,Delivered,12:36:00 AM,134
125,125,Delivered,12:33:00 AM,86
126,126,Delivered,12:32:00 AM,89
127,127,Delivered,12:15:00 AM,161
128,128,Delivered,12:35:00 AM,170
129,129,Delivered,12:56:00 AM,47
130,130,Cancelled,12:00:00 AM,155
131,131,Cancelled,12:00:00 AM,100
132,132,Cancelled,12:00:00 AM,89
133,133,Delivered,12:30:00 AM,124
134,134,Delivered,12:17:00 AM,66
135,135,Delivered,12:45:00 AM,106
136,136,Delivered,12:47:00 AM,16
137,137,Delivered,12:53:00 AM,142
138,138,Delivered,12:37:00 AM,102
139,139,Delivered,12:50:00 AM,61
140,140,Cancelled,12:00:00 AM,81
141,141,Cancelled,12:00:00 AM,14
142,142,Cancelled,12:00:00 AM,91
143,143,Delivered,12:21:00 AM,135
144,144,Cancelled,12:00:00 AM,61
145,145,Cancelled,12:00:00 AM,71
146,146,Cancelled,12:00:00 AM,79
147,147,Delivered,12:16:00 AM,47
148,148,Delivered,12:44:00 AM,93
149,149,Cancelled,12:00:00 AM,93
150,150,Delivered,12:31:00 AM,163
151,151,Delivered,12:46:00 AM,174
152,152,Delivered,12:18:00 AM,32
153,153,Cancelled,12:00:00 AM,71
154,154,Delivered,12:26:00 AM,151
155,155,Delivered,12:36:00 AM,6
156,156,Delivered,12:30:00 AM,162
157,157,Delivered,12:27:00 AM,110
158,158,Cancelled,12:00:00 AM,148
159,159,Delivered,12:30:00 AM,98
160,160,Cancelled,12:00:00 AM,140
161,161,Cancelled,12:00:00 AM,58
162,162,Delivered,12:34:00 AM,10
163,163,Delivered,12:24:00 AM,27
